Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Backcountry Skiing,2025-04-17 11:57:22,false,"Cambridge Backcountry Skiing","4.03","1,046","01:35:10","137","163","4.5","--","--","2.5","16.8","2,078","2,047","--","--","--","--","--","--","--","0.0","--","--","--","6,444","No","01:35:10","1","34","17","43","01:22:04","01:45:36","1,589","3,656"
Cycling,2025-04-13 09:05:05,false,"Jeffersonville Cycling","39.19","2,304","04:18:07","135","162","5.0","--","--","9.1","32.2","4,295","4,305","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:21:44","8","33","19","43","03:59:45","04:37:56","454","1,779"
Cycling,2025-04-10 11:35:22,false,"Underhill Cycling","20.49","1,113","01:53:58","128","160","3.7","--","--","10.8","32.6","1,601","1,612","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:05:27.2","5","--","--","--","01:50:09","02:17:32","463","1,197"
Resort Skiing,2025-04-09 09:42:19,false,"Cambridge Resort Skiing","6.98","598","01:45:56","97","157","2.2","--","--","9.4","31.4","7,138","7,128","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:04:28.6","6","--","--","--","01:34:39","01:45:56","1,614","3,066"
Cycling,2025-04-07 16:25:44,false,"Underhill Cycling","18.23","1,025","01:38:21","136","168","4.4","--","--","11.1","35.4","1,869","1,869","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:18:30","4","32","16","42","01:36:14","01:42:17","465","1,196"
Cycling,2025-04-03 16:34:30,false,"Underhill Cycling","15.66","904","01:32:16","131","155","3.7","--","--","10.2","35.7","1,537","1,539","--","--","--","--","--","--","--","0.0","--","--","--","--","No","00:06:42.2","4","32","18","39","01:29:14","01:43:39","663","1,255"
Running,2025-04-01 09:45:26,false,"New York Running","7.07","849","01:06:44","140","159","4.8","161","240","9:26","6:13","326","324","1.06","8.5","9.0","277","--","9:22","353","0.0","340","530","--","10,684","No","00:01:02.8","8","--","--","--","01:05:45","01:06:44","37","139"
Walking,2025-03-31 16:00:08,false,"New York Walking","2.75","305","00:57:04","83","96","0.9","73","212","20:46","5:53","55","75","1.42","--","--","--","--","--","--","0.0","--","--","--","4,334","No","00:18:31","3","--","--","--","00:45:20","00:57:04","113","154"
Running,2025-03-29 09:51:58,false,"New York Running","7.20","892","01:19:36","130","145","3.8","156","163","11:03","8:43","328","323","0.93","9.4","8.8","302","--","10:57","303","0.0","297","453","--","12,364","No","00:02:27.3","8","--","--","--","01:19:13","01:19:36","48","145"
Walking,2025-03-28 16:41:39,false,"New York Walking","2.04","231","00:37:40","104","122","1.0","98","214","18:29","10:41","98","51","0.89","--","--","--","--","--","--","0.0","--","--","--","3,750","No","00:01:47.1","3","--","--","--","00:35:55","00:37:40","96","229"
